trial_number,receive_time,node,ts,px,py,yaw,temp
1,1778095716.1859004,1,29787,-0.313542,0.461386,0.108407,44.6
1,1778095716.2354636,1,29837,-0.316829,0.465923,0.108962,44.6
1,1778095716.386466,1,29987,-0.326166,0.478736,0.110602,44.6
1,1778095716.4383204,1,30037,-0.330225,0.484291,0.111254,44.6
1,1778095716.4866407,1,30087,-0.332605,0.487549,0.111626,44.6
1,1778095716.594005,1,30194,-0.341191,0.499272,0.113043,44.6
1,1778095716.636501,1,30237,-0.343956,0.50306,0.113396,44.6
1,1778095716.6878211,1,30287,-0.347425,0.507804,0.113944,44.6
1,1778095716.7918928,1,30387,-0.354439,0.517312,0.115048,44.6
1,1778095716.8352425,1,30437,-0.357268,0.521137,0.115448,44.6
1,1778095716.994259,1,30587,-0.368668,0.536593,0.117261,44.6
1,1778095717.0419977,1,30644,-0.372641,0.541947,0.117876,44.6
1,1778095717.085316,1,30687,-0.375907,0.546349,0.118362,44.6
1,1778095717.1353745,1,30737,-0.379552,0.551275,0.118936,44.6
1,1778095717.2403796,1,30837,-0.386896,0.561216,0.119988,44.6
1,1778095717.285253,1,30887,-0.38985,0.565217,0.120325,44.6
1,1778095717.3353436,1,30937,-0.394305,0.571238,0.120886,44.6
1,1778095717.385214,1,30987,-0.396548,0.574261,0.121199,44.6
1,1778095717.4939616,1,31094,-0.405974,0.586934,0.12263,44.6
1,1778095717.5354254,1,31137,-0.409391,0.591539,0.1231,44.6
1,1778095717.5857625,1,31187,-0.413206,0.596673,0.123599,44.6
1,1778095717.6352615,1,31237,-0.417047,0.601825,0.124079,44.6
1,1778095717.7352366,1,31337,-0.424007,0.611156,0.125136,44.6
1,1778095717.785411,1,31387,-0.428277,0.616912,0.125688,44.6
1,1778095717.8352506,1,31437,-0.431396,0.621123,0.126104,44.6
1,1778095717.885326,1,31487,-0.436487,0.627995,0.126737,44.6
1,1778095717.9444404,1,31545,-0.441216,0.634356,0.127299,45.6
1,1778095717.986321,1,31587,-0.444381,0.63861,0.127779,44.6
1,1778095718.036391,1,31637,-0.44835,0.643949,0.128344,44.6
1,1778095718.136473,1,31737,-0.456365,0.654686,0.129473,44.6
1,1778095718.2372556,1,31837,-0.464051,0.664957,0.130509,44.6
1,1778095718.2891335,1,31887,-0.467297,0.669311,0.130933,44.6
1,1778095718.336079,1,31937,-0.472585,0.676427,0.131654,44.6
1,1778095718.3933382,1,31995,-0.477484,0.683037,0.132328,45.6
1,1778095718.4351704,1,32037,-0.480355,0.686905,0.132708,44.6
1,1778095718.5360847,1,32137,-0.488615,0.697995,0.133792,44.6
1,1778095718.58512,1,32187,-0.493195,0.704129,0.134376,44.6
1,1778095718.6351476,1,32237,-0.49738,0.709733,0.134859,44.6
1,1778095718.6868637,1,32287,-0.50159,0.715374,0.135377,44.6
1,1778095718.7365386,1,32337,-0.504546,0.719339,0.135753,45.6
1,1778095718.7852492,1,32387,-0.510055,0.726732,0.136455,45.6
1,1778095718.8484094,1,32445,-0.515177,0.733583,0.13706,45.6
1,1778095718.9358041,1,32537,-0.522901,0.743928,0.138008,45.6
1,1778095718.9925802,1,32587,-0.526791,0.749131,0.138447,44.6
1,1778095719.1363664,1,32737,-0.540312,0.767193,0.140028,45.6
1,1778095719.1852632,1,32787,-0.543382,0.771314,0.140342,45.6
1,1778095719.2386737,1,32837,-0.54911,0.778992,0.141013,45.6
1,1778095719.2939055,1,32896,-0.554433,0.786105,0.141654,44.6
1,1778095719.3355894,1,32937,-0.558003,0.790858,0.142083,45.6
1,1778095719.3864665,1,32987,-0.562489,0.796816,0.142624,45.6
1,1778095719.4445891,1,33037,-0.566993,0.8028,0.143138,45.6
1,1778095719.4853573,1,33087,-0.571519,0.808807,0.143653,45.6
1,1778095719.535387,1,33137,-0.575611,0.814242,0.144098,45.6
1,1778095719.587824,1,33187,-0.58062,0.820924,0.14466,44.6
1,1778095719.6357148,1,33237,-0.583817,0.825196,0.145038,45.6
1,1778095719.6855333,1,33287,-0.589797,0.833139,0.145749,45.6
1,1778095719.745852,1,33346,-0.59491,0.839834,0.146366,45.6
1,1778095719.786283,1,33387,-0.599114,0.845315,0.146775,45.6
1,1778095719.8370862,1,33438,-0.603782,0.851456,0.147299,45.6
1,1778095719.8872793,1,33487,-0.608435,0.857673,0.147806,45.6
1,1778095719.938557,1,33537,-0.612626,0.86331,0.148329,45.6
1,1778095719.9872954,1,33587,-0.617305,0.869579,0.148793,45.6
1,1778095720.0402045,1,33637,-0.622492,0.876448,0.149361,45.6
1,1778095720.087682,1,33687,-0.625811,0.88082,0.149745,45.6
1,1778095720.2369142,1,33837,-0.641556,0.901684,0.151547,45.6
1,1778095720.3092208,1,33889,-0.646384,0.908032,0.152071,45.6
1,1778095720.3364549,1,33937,-0.651245,0.914373,0.152709,45.6
